"filename", "language", "JSON", "CSS", "JavaScript", "Markdown", "comment", "blank", "total"
"e:\Education\travel log\backend\login.js", "JavaScript", 0, 0, 6, 0, 0, 2, 8
"e:\Education\travel log\backend\package-lock.json", "JSON", 562, 0, 0, 0, 0, 0, 562
"e:\Education\travel log\backend\package.json", "JSON", 4, 0, 0, 0, 0, -1, 3
"e:\Education\travel log\backend\server.js", "JavaScript", 0, 0, 66, 0, 16, 9, 91
"e:\Education\travel log\package-lock.json", "JSON", -984, 0, 0, 0, 0, -1, -985
"e:\Education\travel log\package.json", "JSON", -9, 0, 0, 0, 0, -1, -10
"e:\Education\travel log\travel\.VSCodeCounter\2022-03-06_17-32-10\details.md", "Markdown", 0, 0, 0, -30, 0, -6, -36
"e:\Education\travel log\travel\.VSCodeCounter\2022-03-06_17-32-10\diff-details.md", "Markdown", 0, 0, 0, -9, 0, -6, -15
"e:\Education\travel log\travel\.VSCodeCounter\2022-03-06_17-32-10\diff.md", "Markdown", 0, 0, 0, -12, 0, -7, -19
"e:\Education\travel log\travel\.VSCodeCounter\2022-03-06_17-32-10\results.json", "JSON", -1, 0, 0, 0, 0, 0, -1
"e:\Education\travel log\travel\.VSCodeCounter\2022-03-06_17-32-10\results.md", "Markdown", 0, 0, 0, -17, 0, -7, -24
"e:\Education\travel log\travel\README.md", "Markdown", 0, 0, 0, -38, 0, -33, -71
"e:\Education\travel log\travel\package-lock.json", "JSON", 102, 0, 0, 0, 0, 0, 102
"e:\Education\travel log\travel\package.json", "JSON", 5, 0, 0, 0, 0, 0, 5
"e:\Education\travel log\travel\src\App.css", "CSS", 0, 7, 0, 0, 0, 1, 8
"e:\Education\travel log\travel\src\App.js", "JavaScript", 0, 0, 2, 0, 9, 1, 12
"e:\Education\travel log\travel\src\component\Header.css", "CSS", 0, 0, 0, 0, 1, 0, 1
"e:\Education\travel log\travel\src\component\Header.js", "JavaScript", 0, 0, 1, 0, 1, 0, 2
"e:\Education\travel log\travel\src\component\Home.css", "CSS", 0, -15, 0, 0, 13, 0, -2
"e:\Education\travel log\travel\src\component\Home.js", "JavaScript", 0, 0, -39, 0, 1, -2, -40
"e:\Education\travel log\travel\src\component\SignIn.js", "JavaScript", 0, 0, 28, 0, 2, 5, 35
"e:\Education\travel log\travel\src\component\SignUp.js", "JavaScript", 0, 0, 35, 0, 0, 5, 40
"e:\Education\travel log\travel\src\component\View.css", "CSS", 0, 13, 0, 0, 1, 0, 14
"e:\Education\travel log\travel\src\component\View.js", "JavaScript", 0, 0, 0, 0, -13, 1, -12
"e:\Education\travel log\travel\src\component\add.js", "JavaScript", 0, 0, -1, 0, 2, 0, 1
"e:\Education\travel log\travel\src\component\remove.js", "JavaScript", 0, 0, 5, 0, 29, 4, 38
"e:\Education\travel log\travel\src\component\sidebar.js", "JavaScript", 0, 0, 5, 0, 1, 0, 6
"e:\Education\travel log\travel\src\component\update.js", "JavaScript", 0, 0, 68, 0, 7, 10, 85
"Total", "-", -321, 5, 176, -106, 70, -26, -202